food,calories,protein,carbs,fat,sugar,sodium,gi,diabetes_label,hypertension_label,cvd_label,pcos_label,obesity_label,meal_type,target_audience,food_type,region
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",450.0,14.0,60.0,18.0,2.0,600.0,55.0,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",451.5,14.0,60.2,18.1,2.0,602.1,55.2,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",451.4,14.0,60.2,18.1,2.0,601.9,55.2,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",451.9,14.1,60.3,18.1,2.0,602.5,55.2,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",452.1,14.1,60.3,18.1,2.0,602.8,55.3,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",447.5,13.9,59.7,17.9,2.0,596.7,54.7,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",452.5,14.1,60.3,18.1,2.0,603.3,55.3,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",446.3,13.9,59.5,17.9,2.0,595.0,54.5,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",452.1,14.1,60.3,18.1,2.0,602.8,55.3,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",449.0,14.0,59.9,18.0,2.0,598.7,54.9,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",447.3,13.9,59.6,17.9,2.0,596.5,54.7,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",451.5,14.0,60.2,18.1,2.0,601.9,55.2,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",445.7,13.9,59.4,17.8,2.0,594.3,54.5,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",451.4,14.0,60.2,18.1,2.0,601.9,55.2,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",448.8,14.0,59.8,18.0,2.0,598.3,54.8,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",446.5,13.9,59.5,17.9,2.0,595.3,54.6,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",452.9,14.1,60.4,18.1,2.0,603.8,55.4,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",452.2,14.1,60.3,18.1,2.0,602.9,55.3,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",451.0,14.0,60.1,18.0,2.0,601.3,55.1,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",452.2,14.1,60.3,18.1,2.0,602.9,55.3,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",449.2,14.0,59.9,18.0,2.0,599.0,54.9,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,520.0,16.0,65.0,22.0,2.0,550.0,55.0,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,523.6,16.1,65.5,22.2,2.0,553.8,55.4,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,519.8,16.0,65.0,22.0,2.0,549.8,55.0,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,519.5,16.0,64.9,22.0,2.0,549.5,54.9,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,519.3,16.0,64.9,22.0,2.0,549.2,54.9,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,520.2,16.0,65.0,22.0,2.0,550.2,55.0,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,520.1,16.0,65.0,22.0,2.0,550.1,55.0,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,520.8,16.0,65.1,22.0,2.0,550.9,55.1,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,524.5,16.1,65.6,22.2,2.0,554.8,55.5,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,520.5,16.0,65.1,22.0,2.0,550.6,55.1,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,516.7,15.9,64.6,21.9,2.0,546.6,54.7,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,523.7,16.1,65.5,22.2,2.0,553.9,55.4,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,524.2,16.1,65.5,22.2,2.0,554.5,55.4,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,519.9,16.0,65.0,22.0,2.0,549.9,55.0,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,520.1,16.0,65.0,22.0,2.0,550.1,55.0,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,519.8,16.0,65.0,22.0,2.0,549.8,55.0,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,518.2,15.9,64.8,21.9,2.0,548.1,54.8,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,515.8,15.9,64.5,21.8,2.0,545.6,54.6,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,524.3,16.1,65.5,22.2,2.0,554.5,55.5,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,519.7,16.0,65.0,22.0,2.0,549.7,55.0,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
Masala Dosa (Large) w/ Sambar & 1 Boiled Egg,516.7,15.9,64.6,21.9,2.0,546.5,54.6,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",420.0,14.0,55.0,18.0,12.0,120.0,50.0,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",419.4,14.0,54.9,18.0,12.0,119.8,49.9,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",423.0,14.1,55.4,18.1,12.1,120.9,50.4,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",416.5,13.9,54.5,17.9,11.9,119.0,49.6,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",419.4,14.0,54.9,18.0,12.0,119.8,49.9,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",415.8,13.9,54.5,17.8,11.9,118.8,49.5,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",417.6,13.9,54.7,17.9,11.9,119.3,49.7,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",420.9,14.0,55.1,18.0,12.0,120.3,50.1,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",423.2,14.1,55.4,18.1,12.1,120.9,50.4,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",417.4,13.9,54.7,17.9,11.9,119.3,49.7,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",423.6,14.1,55.5,18.2,12.1,121.0,50.4,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",420.5,14.0,55.1,18.0,12.0,120.2,50.1,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",419.4,14.0,54.9,18.0,12.0,119.8,49.9,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",420.8,14.0,55.1,18.0,12.0,120.2,50.1,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",418.8,14.0,54.8,17.9,12.0,119.7,49.9,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",423.1,14.1,55.4,18.1,12.1,120.9,50.4,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",422.6,14.1,55.3,18.1,12.1,120.7,50.3,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",423.6,14.1,55.5,18.2,12.1,121.0,50.4,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
