food,calories,protein,carbs,fat,sugar,sodium,gi,diabetes_label,hypertension_label,cvd_label,pcos_label,obesity_label,meal_type,target_audience,food_type,region
"Idli (3 pcs) w/ Sambar, Coconut Chutney & Vadai",450,14.0,60.0,18.0,2.0,600,55,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg,South
"Masala Dosa (Large) w/ Sambar & 1 Boiled Egg",520,16.0,65.0,22.0,2.0,550,55,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Non-Veg,South
"Oats Porridge (Large) w/ Apple, Honey & Walnuts",420,14.0,55.0,18.0,12.0,120,50,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg,All
"Veg Upma (Large Bowl) w/ Peanuts & Coconut Chutney",400,10.0,52.0,18.0,2.0,350,55,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg,South
"Poha (Full Plate) w/ Peanuts, Sev & Sprout Salad",450,12.0,60.0,20.0,2.0,300,60,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg,North
"Scrambled Eggs (3) w/ Spinach, 2 Toast & Butter",460,24.0,32.0,26.0,1.5,450,50,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg,All
"Cheese Masala Omelette (2 Eggs) w/ 2 Multigrain Toast",480,26.0,30.0,28.0,2.0,550,55,Moderate,Moderate,Moderate,Recommended,Moderate,Breakfast,Adults,Non-Veg,All
"Brown Rice (1.5 Cup) w/ Dal Tadka, Veggie Stir Fry & Curd",620,18.0,85.0,22.0,3.0,450,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,North
"Curd Rice (Large Bowl) w/ Pomegranate, Tadka & Roasted Papad",450,12.0,55.0,18.0,5.0,350,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Seniors,Veg,South
"Chapati (3) w/ Bhindi Masala, Dal & Cucumber Salad",580,20.0,75.0,22.0,3.0,500,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg,North
"Fish Curry Meal: Rice (1 Cup), Fish (2 pcs) & Thoran",650,40.0,60.0,28.0,2.0,600,55,Recommended,Moderate,Recommended,Recommended,Moderate,Lunch,Adults,Non-Veg,South
"Chicken Biryani Combo: Biryani (Bowl), Raita, Egg & Salad",750,35.0,80.0,30.0,4.0,850,65,Avoid,Avoid,Avoid,Avoid,Avoid,Lunch,Adults,Non-Veg,All
"Grilled Chicken Breast (250g) w/ Quinoa Salad & Hummus",550,55.0,35.0,22.0,2.0,450,30,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Adults,Non-Veg,All
"Rajma Chawal Combo: Rice, Rajma, Jeera Aloo & Curd",680,22.0,90.0,24.0,3.0,600,50,Moderate,Moderate,Recommended,Recommended,Moderate,Lunch,Adults,Veg,North
"Lemon Rice (Full) w/ 2 Boiled Eggs & Cucumber",520,18.0,65.0,20.0,2.0,600,65,Moderate,Avoid,Moderate,Moderate,Avoid,Lunch,Kids,Non-Veg,South
"Veg Khichdi (Large Bowl) w/ Ghee, Kadhi & Papad",550,16.0,75.0,20.0,2.0,500,50,Recommended,Recommended,Recommended,Recommended,Recommended,Dinner,Seniors,Veg,North
"Phulka (3) w/ Palak Paneer & Sprout Salad",580,24.0,65.0,26.0,3.0,550,45,Recommended,Moderate,Recommended,Recommended,Moderate,Dinner,All,Veg,North
